722010,"KEY WEST INTL ARPT",FL,-5.0,24.550,-81.750,1
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/1976,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,A,7,3,A,7,21.1,A,7,17.2,A,7,79,A,7,1017,A,7,20,A,7,4.6,A,7,24100,A,7,77777,A,7,3.1,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,B,8,3,B,8,20.9,B,8,17.0,B,8,80,B,8,1017,B,8,30,B,8,4.3,B,8,-9900,?,0,77777,B,8,3.1,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,B,8,4,B,8,20.8,B,8,17.1,B,8,80,B,8,1016,B,8,30,B,8,3.9,B,8,-9900,?,0,77777,B,8,3.1,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,A,7,4,A,7,20.6,A,7,17.2,A,7,81,A,7,1016,A,7,40,A,7,3.6,A,7,16100,A,7,77777,A,7,3.1,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,B,8,3,B,8,20.4,B,8,16.7,B,8,80,B,8,1016,B,8,40,B,8,3.9,B,8,-9900,?,0,77777,B,8,3.0,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,B,8,3,B,8,20.2,B,8,16.4,B,8,79,B,8,1017,B,8,40,B,8,4.3,B,8,-9900,?,0,77777,B,8,2.9,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,20.0,A,7,16.1,A,7,78,A,7,1017,A,7,40,A,7,4.6,A,7,16100,A,7,77777,A,7,2.8,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,08:00,88,1120,40,1,13,148,1,9,24,1,13,3822,1,13,6805,1,9,3260,1,13,423,1,21,2,B,8,2,B,8,20.9,B,8,16.2,B,8,75,B,8,1018,B,8,50,B,8,5.1,B,8,-9900,?,0,77777,B,8,2.9,E,8,0.067,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,09:00,360,1415,172,1,13,404,1,9,68,1,13,18272,1,13,33770,1,9,9631,1,13,1227,1,21,2,B,8,2,B,8,21.9,B,8,16.5,B,8,72,B,8,1018,B,8,50,B,8,5.7,B,8,-9900,?,0,77777,B,8,3.0,E,8,0.067,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,10:00,605,1415,361,1,9,610,1,9,99,1,13,37691,1,9,58687,1,9,12517,1,13,1992,1,18,2,A,7,2,A,7,22.8,A,7,16.7,A,7,69,A,7,1019,A,7,60,A,7,6.2,A,7,24100,A,7,77777,A,7,3.0,E,8,0.067,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,11:00,792,1415,523,1,9,758,1,9,96,1,13,54853,1,9,75203,1,9,12585,1,13,2158,1,18,2,B,8,2,B,8,23.0,B,8,16.6,B,8,68,B,8,1018,B,8,60,B,8,6.0,B,8,-9900,?,0,77777,B,8,3.0,E,8,0.067,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,12:00,911,1415,588,1,18,710,1,18,129,1,18,62812,1,18,72288,1,18,16120,1,18,3338,1,31,3,B,8,3,B,8,23.1,B,8,16.6,B,8,67,B,8,1018,B,8,50,B,8,5.9,B,8,-9900,?,0,77777,B,8,3.0,E,8,0.067,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,13:00,951,1415,622,1,13,744,1,13,121,1,13,65462,1,13,74593,1,13,15127,1,13,3067,1,23,3,A,7,3,A,7,23.3,A,7,16.7,A,7,66,A,7,1018,A,7,50,A,7,5.7,A,7,24100,A,7,77777,A,7,2.9,E,8,0.067,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,14:00,912,1415,361,1,18,201,1,18,231,1,18,39453,1,18,21553,1,18,25514,1,18,5929,1,31,5,B,8,5,B,8,22.4,B,8,15.9,B,8,68,B,8,1018,B,8,50,B,8,5.9,B,8,-9900,?,0,77777,B,8,2.9,E,8,0.067,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,15:00,794,1415,306,1,9,162,1,9,215,1,13,33723,1,9,16907,1,9,24194,1,13,5616,1,18,8,B,8,8,B,8,21.5,B,8,15.4,B,8,69,B,8,1018,B,8,40,B,8,6.0,B,8,-9900,?,0,77777,B,8,2.8,E,8,0.067,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,16:00,608,1415,172,1,9,4,1,9,170,1,13,19407,1,9,313,1,9,19272,1,13,6505,1,18,10,A,7,10,A,7,20.6,A,7,15.0,A,7,71,A,7,1017,A,7,40,A,7,6.2,A,7,24100,A,7,1830,A,7,2.7,E,8,0.067,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,17:00,364,1415,99,1,13,72,1,9,80,1,13,10876,1,13,6268,1,9,9256,1,13,1757,1,21,8,B,8,8,B,8,20.4,B,8,14.8,B,8,72,B,8,1018,B,8,40,B,8,5.3,B,8,-9900,?,0,77777,B,8,2.7,E,8,0.067,F,8,-9900.000,?,0,-9900,-9900,?,0
