722287,"ANNISTON METROPOLITAN AP",AL,-6.0,33.583,-85.850,186
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/1991,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,0.6,A,7,-1.6,A,7,84,A,7,1005,A,7,80,A,7,4.1,A,7,11200,A,7,77777,A,7,2.1,E,8,0.061,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1991,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,0.6,A,7,-1.0,A,7,88,A,7,1005,A,7,90,A,7,3.6,A,7,11200,A,7,77777,A,7,2.1,E,8,0.061,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1991,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,1.1,A,7,-0.5,A,7,89,A,7,1005,A,7,70,A,7,4.1,A,7,11200,A,7,77777,A,7,2.1,E,8,0.061,F,8,0.170,F,8,0,99,A,7
01/01/1991,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,1.1,A,7,-0.5,A,7,89,A,7,1005,A,7,80,A,7,3.6,A,7,11200,A,7,77777,A,7,2.1,E,8,0.061,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1991,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,2.2,A,7,0.6,A,7,89,A,7,1005,A,7,70,A,7,5.1,A,7,11200,A,7,77777,A,7,2.1,E,8,0.061,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1991,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,2.8,A,7,1.1,A,7,89,A,7,1005,A,7,70,A,7,5.1,A,7,11200,A,7,77777,A,7,2.1,E,8,0.061,F,8,0.170,F,8,0,6,A,7
01/01/1991,07:00,4,248,0,1,11,1,1,16,0,1,11,0,1,11,0,1,16,0,1,11,0,1,22,9,A,7,9,E,9,3.3,A,7,1.7,A,7,89,A,7,1005,A,7,70,A,7,4.6,A,7,11200,A,7,3600,A,7,2.1,E,8,0.061,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1991,08:00,168,1415,61,1,11,33,1,16,57,1,11,6648,1,11,2308,1,16,6372,1,11,1261,1,22,9,A,7,9,E,9,5.0,A,7,2.2,A,7,82,A,7,1006,A,7,50,A,7,5.1,A,7,11200,A,7,3600,A,7,2.1,E,8,0.061,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1991,09:00,402,1415,80,1,11,0,1,16,80,1,11,9162,1,11,0,1,16,9162,1,11,3089,1,22,10,A,7,10,E,9,6.7,A,7,3.3,A,7,79,A,7,1006,A,7,50,A,7,5.1,A,7,16000,A,7,2400,A,7,2.1,E,8,0.061,F,8,0.170,F,8,0,99,A,7
01/01/1991,10:00,589,1415,232,1,11,66,1,16,204,1,11,25366,1,11,6457,1,16,22664,1,11,5533,1,22,9,A,7,9,E,9,7.8,A,7,3.3,A,7,73,A,7,1006,A,7,50,A,7,5.1,A,7,16000,A,7,2400,A,7,2.1,E,8,0.061,F,8,0.170,F,8,-9900,-9900,?,0
