724945,"SAN JOSE INTL AP",CA,-8.0,37.367,-121.933,16
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/1999,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.0,A,7,5.0,A,7,93,A,7,1020,A,7,30,A,7,2.1,A,7,12900,A,7,77777,A,7,1.2,E,8,0.098,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1999,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,6.0,A,7,5.0,A,7,93,A,7,1020,A,7,0,A,7,0.0,A,7,8000,A,7,77777,A,7,1.1,E,8,0.098,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1999,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,5.0,A,7,4.0,A,7,93,A,7,1020,A,7,130,A,7,1.5,A,7,8000,A,7,77777,A,7,1.1,E,8,0.098,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1999,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,3.0,A,7,3.0,A,7,100,A,7,1020,A,7,130,A,7,2.1,A,7,6400,A,7,77777,A,7,1.1,E,8,0.098,F,8,0.170,F,8,0,24,A,7
01/01/1999,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,3.0,A,7,2.0,A,7,93,A,7,1020,A,7,180,A,7,1.5,A,7,4800,A,7,77777,A,7,1.1,E,8,0.098,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1999,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,2.0,A,7,2.0,A,7,100,A,7,1020,A,7,0,A,7,0.0,A,7,6400,A,7,77777,A,7,1.1,E,8,0.098,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1999,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,3.0,A,7,3.0,A,7,100,A,7,1021,A,7,0,A,7,0.0,A,7,8000,A,7,77777,A,7,1.1,E,8,0.098,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1999,08:00,42,861,4,2,8,80,2,15,2,2,8,701,2,8,4563,2,15,456,2,8,79,2,19,0,E,9,0,E,9,3.0,A,7,2.0,A,7,93,A,7,1021,A,7,130,A,7,2.1,A,7,6400,A,7,77777,A,7,1.0,E,8,0.098,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1999,09:00,254,1415,121,2,8,397,2,15,49,2,8,12310,2,8,28981,2,15,7073,2,8,870,2,19,0,E,9,0,E,9,6.0,A,7,4.0,A,7,87,A,7,1021,A,7,0,A,7,0.0,A,7,8000,A,7,77777,A,7,1.0,E,8,0.098,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1999,10:00,453,1415,278,2,8,614,2,15,80,2,8,28662,2,8,55113,2,15,10941,2,8,1501,2,19,0,E,9,0,E,9,9.0,A,7,4.0,A,7,71,A,7,1022,A,7,0,A,7,0.0,A,7,16100,A,7,77777,A,7,1.0,E,8,0.098,F,8,0.170,F,8,-9900,-9900,?,0
01/01/1999,11:00,598,1415,394,2,8,678,2,15,106,2,8,40936,2,8,64866,2,15,13378,2,8,2100,2,19,0,E,9,0,E,9,11.0,A,7,3.0,A,7,58,A,7,1022,A,7,340,A,7,2.1,A,7,16100,A,7,77777,A,7,1.0,E,8,0.098,F,8,0.170,F,8,-9900,-9900,?,0
